Designator,Mid X,Mid Y,Rotation,Layer
C1,131.0,-121.6,270.0,top
C10,143.6,-110.69,0.0,top
C11,140.665,-108.36,180.0,top
C12,141.61,-106.15,90.0,top
C14,132.95,-52.5,270.0,top
C15,129.775,-64.85,90.0,top
C16,137.705,-108.36,0.0,top
C17,142.0,-93.9,0.0,top
C18,139.925,-106.15,90.0,top
C19,137.39,-92.35,90.0,top
C2,132.95,-48.17,270.0,top
C20,136.625,-115.3,270.0,top
C21,150.8725,-63.975,270.0,bottom
C22,140.9,-96.275,180.0,top
C3,140.125,-69.0,180.0,top
C4,140.225,-76.3,180.0,top
C5,140.225,-83.9,180.0,top
C6,140.125,-91.5,180.0,top
C7,130.3,-102.1,90.0,top
C8,130.925,-141.11,0.0,top
C9,138.77,-110.69,0.0,top
CN1,141.9,-53.965,180.0,top
CN2,155.035,-132.823,90.0,top
CN3,155.035,-108.123,90.0,top
CN4,155.035,-83.423,90.0,top
CN5,155.035,-58.723,90.0,top
D1,132.0,-91.0,90.0,top
D2,138.65,-60.75,0.0,top
D3,149.0,-63.9525,90.0,bottom
D4,132.1,-115.3,270.0,top
D5,132.325,-64.75,90.0,top
F1,146.1,-63.975,90.0,bottom
H1,132.0,-58.1,0.0,top
H2,132.0,-137.119,0.0,top
H3,147.0,-137.119,0.0,top
J1,148.95,-127.185,0.0,top
L1,146.2,-103.8,270.0,top
LED1,130.8,-48.17,270.0,top
LED3,130.8,-52.5,270.0,top
R1,138.6775,-137.575,90.0,top
R10,132.8,-98.0125,270.0,top
R11,147.0,-79.9275,270.0,top
R12,147.0,-87.5275,270.0,top
R13,147.0,-72.4275,270.0,top
R14,147.0,-65.1725,270.0,top
R15,138.445,-106.15,270.0,top
R16,136.965,-106.15,270.0,top
R17,136.25,-100.75,270.0,top
R18,138.675,-137.575,270.0,bottom
R19,140.225,-137.575,270.0,bottom
R2,140.2265,-137.5875,90.0,top
R20,131.275,-62.0,90.0,top
R23,133.375,-62.0,90.0,top
R3,136.811,-137.6,90.0,top
R4,142.271,-137.6,90.0,top
R5,148.7,-118.1375,90.0,top
R6,131.9875,-93.6,0.0,top
R7,131.2,-96.1875,90.0,top
R8,132.8,-96.1875,90.0,top
R9,131.2,-98.0125,270.0,top
RN1,141.7,-114.8,0.0,top
RN2,145.7,-114.8,0.0,top
RN3,136.23,-69.65,90.0,bottom
RN4,136.23,-84.1,90.0,bottom
SW1,138.745,-115.41,90.0,top
SW2,133.92,-115.41,90.0,top
U1,139.7,-125.0,0.0,top
U10,131.675,-70.3,270.0,top
U11,130.875,-143.6675,180.0,bottom
U2,139.541,-142.266,0.0,top
U3,140.125,-65.345,270.0,top
U4,140.125,-72.6,270.0,top
U5,140.125,-80.1,270.0,top
U6,140.125,-87.7,270.0,top
U7,132.2,-107.9,270.0,top
U8,130.87,-143.51,270.0,top
U9,139.715,-100.75,180.0,top
